"","PROJECT_NUMBER","NEPA_NAME","REGION","NEPA_STATUS","INIT_DATE","DECISION_DATE","NEPA_TYPE","APPEALED","LITIGATED","ELAPSED_DAYS","DECISION_LEVEL","plan.date.min","plan.date.max","comp.date.min","comp.date.max","num.units.plan","num.units.comp","med.time.lag","th","hf","rf","tsi","completed","act.count","proj.dur.plan","proj.dur.comp","proj.delay","COMPLETED","INITIATED","max_date","max.delay","YP","size"
"1458",28218,"Buffalo Valley Fuels Management","4","Complete","3/19/09","4/8/10","EA","0","0",385,"Ranger District/Mgt Unit","2010-06-01","2018-10-31","2010-11-29",NA,2927,404,2.5,0,1,0,0,0.923076923076923,13,3075,NA,181,0,1,"2018-12-31",3135,2010,"x-large"
"1459",17236,"Bend in the River Salvage","4","Complete","12/18/06","2/20/07","CE","0","0",64,"Ranger District/Mgt Unit","2007-08-02","2007-08-02","2010-08-31",NA,295,274,1148,0.5,0.5,0,0,0.944444444444444,18,1,NA,1125,0,1,"2018-12-31",4169,2007,"medium"
"1460",18714,"Clayton Salvage","4","Complete","12/21/06","10/1/07","CE","1","0",284,"Ranger District/Mgt Unit","2017-02-01","2017-02-01","2017-10-17","2017-10-17",64,64,258,0,0,0,1,1,1,1,1,258,1,1,"2018-12-31",698,2017,"small"
"1461",25923,"Corn Creek Fire Salvage and Reforestation","4","Complete","12/4/08","4/30/09","EA","0","0",147,"Ranger District/Mgt Unit","2008-06-15","2015-03-09","2013-09-21",NA,2438,171,35,0,0.166666666666667,0.833333333333333,0,0.833333333333333,6,2459,NA,1924,0,1,"2018-12-31",3851,2008,"large"
"1462",17249,"Edward Spring Vegetation Treatment","4","Complete","9/22/06","5/22/07","CE","0","0",242,"Ranger District/Mgt Unit","2007-02-02","2009-01-22","2009-04-22","2012-11-27",651,651,1544,0,1,0,0,1,3,721,1316,810,1,1,"2018-12-31",4350,2007,"medium"
"1463",32606,"Bridge Fire Salvage and Reforestation Project","4","Complete","9/30/10","5/13/11","EA","1","0",225,"Ranger District/Mgt Unit","2012-04-09","2017-03-30","2012-04-09","2017-04-23",507.4,507.4,1043,0.666666666666667,0,0.333333333333333,0,1,24,1817,1841,0,1,1,"2018-12-31",2457,2012,"medium"
"1464",36894,"Blue Fly Vegetation Management Project","4","Complete","7/27/11","9/11/12","EA","0","0",412,"Ranger District/Mgt Unit","2012-10-01","2016-09-30","2013-09-02",NA,6295,5173,426,0,0.583333333333333,0.166666666666667,0.25,0.666666666666667,12,1461,NA,336,0,1,"2018-12-31",2282,2012,"x-large"
"1465",13746,"Bumblebee Fuels Treatment","4","Complete","12/18/06","6/13/07","CE","0","0",177,"Ranger District/Mgt Unit","2006-10-01","2008-11-04","2008-03-10","2008-11-05",313,313,274.5,0,1,0,0,1,4,766,241,526,1,1,"2018-12-31",4474,2006,"medium"
"1466",26832,"Dry Ridge Forest Recovery","4","Complete","1/28/09","9/9/09","EA","1","0",224,"Ranger District/Mgt Unit","2009-01-12","2011-09-15","2012-10-01","2018-01-19",3271,3271,2111,0.0714285714285714,0.714285714285714,0,0.214285714285714,1,14,977,1937,1358,1,1,"2018-12-31",3640,2009,"x-large"
"1467",23975,"Upper Mammoth Stewardship","4","Complete","5/16/08","9/26/08","CE","0","0",133,"Ranger District/Mgt Unit","2009-05-29","2009-05-29","2013-01-31","2013-10-29",399,399,1464.5,0.25,0.75,0,0,1,4,1,272,1343,1,1,"2018-12-31",3503,2009,"medium"
"1468",13396,"Robinson/Meadow Timber Stand Improvement","4","Complete","8/25/06","9/5/07","CE","0","0",376,"Ranger District/Mgt Unit","2008-01-15","2008-01-15","2008-08-04","2009-10-09",2923,2923,223.5,0,0.625,0,0.375,1,8,1,432,202,1,1,"2018-12-31",4003,2008,"x-large"
"1469",13779,"Power Line Boundary to Duck Creek","4","Complete","3/15/06","8/31/06","CE","0","0",169,"Ranger District/Mgt Unit","2006-08-08","2006-08-08","2006-09-30","2006-09-30",78,78,53,0.5,0.5,0,0,1,2,1,1,53,1,1,"2018-12-31",4528,2006,"small"
"1470",3105,"Sunset Cliffs South WUI Fuels Reduction","4","Complete","2/23/05","6/3/05","CE","0","0",100,"Ranger District/Mgt Unit","2006-09-30","2012-05-07","2007-05-01","2012-05-10",1295,1243,247.5,0,1,0,0,1,10,2047,1837,213,1,1,"2018-12-31",4475,2006,"large"
"1471",20618,"Marshall Canyon Pinyon-Juniper removal","4","Complete","7/23/07","11/30/07","CE","0","0",130,"Ranger District/Mgt Unit","2007-10-01","2007-10-01","2008-08-01","2008-08-01",878,878,305,0,1,0,0,1,1,1,1,305,1,1,"2018-12-31",4109,2007,"large"
"1472",30474,"Kanab Creek Timber Stand Improvement Project","4","Complete","5/27/10","5/27/10","CE","0","0",0,"Ranger District/Mgt Unit","2010-05-27","2010-05-27","2014-08-25","2014-08-25",1107,1107,1551,0,0,0,1,1,1,1,1,1551,1,1,"2018-12-31",3140,2010,"large"
"1473",40181,"Pine Valley Fuel Break","4","Complete","4/23/16","12/9/16","EA","0","0",230,"Ranger District/Mgt Unit","2018-08-01","2018-08-01","2018-09-05","2018-09-05",800,800,35,0,1,0,0,1,1,1,1,35,1,1,"2018-12-31",152,2018,"large"
"1474",52049,"Upper Midway Salvage Project","4","Complete","6/20/17","7/10/18","CE","0","0",385,"National Forest/Grassland","2018-09-26","2018-09-26",NA,NA,94,94,NA,0,1,0,0,0,1,1,NA,96,0,0,"2018-12-31",96,2018,"small"
"1475",35980,"Johns Valley Vegetation Project","4","Complete","5/2/11","7/31/13","EA","1","0",821,"Ranger District/Mgt Unit","2014-04-08","2017-11-15","2014-06-03","2017-11-15",5440,5440,0,0,1,0,0,1,9,1318,1262,56,1,1,"2018-12-31",1728,2014,"x-large"
"1476",3101,"Tebbs Hollow Sagebrush Treatment","4","Complete","9/7/05","9/22/05","CE","0","0",15,"Ranger District/Mgt Unit","2005-10-10","2008-09-30","2006-06-05","2008-09-30",1577,1583,296.5,0,1,0,0,1,8,1087,849,238,1,1,"2018-12-31",4830,2005,"large"
"1477",15243,"Midway-Deer Valley Scenery Enhancement and Vegetation Treatment","4","Complete","3/20/07","3/12/08","EA","0","0",358,"Ranger District/Mgt Unit","2006-06-15","2014-02-18","2010-06-23","2015-11-09",1981,1981,2424,0.357142857142857,0.214285714285714,0.428571428571429,0,1,14,2806,1966,1469,1,1,"2018-12-31",4582,2006,"large"
"1478",40232,"Mitchell Spring Vegetation Improvement Project","4","Complete","7/21/14","12/10/15","EA","0","0",507,"Ranger District/Mgt Unit","2017-05-17","2017-09-30","2017-06-14",NA,843,35,28,0.466666666666667,0.533333333333333,0,0,0.2,15,137,NA,28,0,1,"2018-12-31",593,2017,"large"
"1479",10348,"Pockets Vegetation Management","4","Complete","6/16/06","7/14/08","EIS","1","0",759,"Ranger District/Mgt Unit","2011-06-01","2011-06-01","2011-08-25",NA,5475,5533,1912,0.666666666666667,0.114942528735632,0.0114942528735632,0.206896551724138,0.218390804597701,87,1,NA,85,0,1,"2018-12-31",2770,2011,"x-large"
"1480",31984,"Road Draw Salvage and Reforestation Project","4","Complete","3/25/10","8/3/10","CE","0","0",131,"Ranger District/Mgt Unit","2011-01-13","2011-01-13","2013-09-30","2013-09-30",127,127,991,1,0,0,0,1,1,1,1,991,1,1,"2018-12-31",2909,2011,"small"
"1481",9775,"Sunset Cliffs North Fuels Reduction Project","4","Complete","6/3/05","5/10/06","CE","1","0",341,"Ranger District/Mgt Unit","2006-09-30","2010-10-27","2007-08-06","2011-01-04",2257,2257,258.5,0,1,0,0,1,16,1489,1248,310,1,1,"2018-12-31",4475,2006,"large"
"1482",53813,"Brian Head Fire Rehabilitation Project (CE)","4","Complete","12/20/17","4/12/18","CE","0","0",113,"Ranger District/Mgt Unit","2018-04-12","2018-06-25","2018-06-01","2018-12-12",662,662,31,0,1,0,0,1,7,75,195,50,1,1,"2018-12-31",263,2018,"medium"
"1483",47201,"Ranch Creek Watershed and Riparian Improvement Project","4","Complete","8/24/16","4/3/18","EA","0","0",587,"Ranger District/Mgt Unit","2018-10-17","2018-10-24","2018-10-24",NA,1832,1832,0,0,1,0,0,0.333333333333333,3,8,NA,7,0,1,"2018-12-31",75,2018,"large"
